concelho,n_casos
Lisboa,505
Porto,462
Vila Nova de Gaia,338
Gondomar,298
Maia,293
Matosinhos,273
Braga,220
Valongo,210
Sintra,167
Ovar,159
Coimbra,157
Santa Maria da Feira,148
Cascais,133
Vila Real,121
Vila Nova de Famalicão,93
Loures,84
Guimarães,81
Almada,71
Seixal,71
Aveiro,70
Oeiras,70
Odivelas,66
Amadora,62
Oliveira de Azeméis,59
Lousada,52
Bragança,48
Felgueiras,45
Santo Tirso,43
Paredes,42
Paços de Ferreira,40
Barcelos,39
Barreiro,37
Resende,35
Mafra,34
Vila do Conde,34
Viana do Castelo,33
Albergaria-a-Velha,31
Penafiel,31
Trofa,31
Albufeira,30
Santarém,27
Faro,26
Espinho,25
São João da Madeira,25
Setúbal,25
Vila Verde,25
Loulé,23
Moita,22
Vale de Cambra,22
Vila Franca de Xira,22
Pombal,21
Portimão,21
Estarreja,20
Condeixa-a-Nova,19
Viseu,19
Funchal,18
Marco de Canaveses,17
Évora,15
Póvoa de Varzim,15
Águeda,14
Ílhavo,14
Montijo,14
Póvoa de Lanhoso,14
Torres Vedras,13
Arouca,12
Montemor-o-Velho,12
Amares,11
Cantanhede,11
Mirandela,11
Palmela,11
Chaves,10
Esposende,10
Sesimbra,10
Arcos de Valdevez,9
Cartaxo,9
Oliveira do Bairro,9
Vila Real de Santo António,9
Almeirim,8
Amarante,8
Vizela,8
Benavente,7
Coruche,7
Fafe,7
Macedo de Cavaleiros,7
Marinha Grande,7
Soure,7
Câmara de Lobos,6
Horta,6
Leiria,6
Murtosa,6
Oliveira de Frades,6
Santiago do Cacém,6
Silves,6
Anadia,5
Calheta,5
Lamego,5
Lousã,5
Monção,5
Ourém,5
Penacova,5
Ponta do Sol,5
Vagos,5
Velas,5
Vila da Praia da Vitória,5
Alcochete,4
Alenquer,4
Alvaiázere,4
Melgaço,4
Nelas,4
Rio Maior,4
Santa Cruz,4
Alpiarça,3
Caminha,3
Carrazeda de Ansiães,3
Cinfães,3
Figueira da Foz,3
Góis,3
Grândola,3
Guarda,3
Lagoa,3
Madalena,3
Mealhada,3
Miranda do Corvo,3
Olhão,3
Peso da Régua,3
Reguengos de Monsaraz,3
São Pedro do Sul,3
São Roque do Pico,3
Sines,3
Tavira,3
Tomar,3
Valpaços,3
Vieira do Minho,3
Vila Nova de Poiares,3
Vila Pouca de Aguiar,3
Vimioso,3
