concelho,reportado_por_ARS_RA,n_casos
Porto,0,941
Lisboa,0,633
Vila Nova de Gaia,0,344
Maia,0,313
Matosinhos,0,295
Gondomar,0,276
Ovar,1,241
Coimbra,0,229
Braga,1,213
Valongo,0,202
Sintra,0,159
Santa Maria da Feira,0,154
Cascais,0,119
Vila Real,0,115
Aveiro,0,95
Oeiras,0,79
Guimarães,0,75
Loures,0,72
Oliveira de Azeméis,0,71
Vila Nova de Famalicão,1,71
Almada,0,68
Seixal,0,68
Odivelas,0,64
Amadora,1,63
Albergaria-a-Velha,1,50
Bragança,0,44
Lousada,1,44
Santo Tirso,0,44
Felgueiras,0,42
Vila do Conde,0,39
Viana do Castelo,0,36
Barcelos,1,35
Paços de Ferreira,0,35
Paredes,0,35
São João da Madeira,0,32
Mafra,0,31
Trofa,0,30
Espinho,0,29
Viseu,1,28
Resende,1,27
Santarém,0,26
Vale de Cambra,0,25
Póvoa de Varzim,0,24
Setúbal,0,24
Vila Franca de Xira,0,24
Barreiro,1,23
Estarreja,1,23
Funchal,0,23
Castro Daire,0,22
Penafiel,0,22
Albufeira,0,21
Évora,0,21
Faro,0,21
Pombal,0,19
Portimão,0,19
Vila Nova de Foz Côa,0,19
Águeda,1,18
Ílhavo,1,18
Lagos,0,18
Marco de Canaveses,0,18
Loulé,0,17
Condeixa-a-Nova,0,15
Vila Verde,1,15
Cartaxo,1,13
Torres Vedras,1,13
Arouca,0,12
Benavente,0,12
Chaves,0,12
Moita,0,12
Montemor-o-Velho,0,12
Póvoa de Lanhoso,0,12
Montijo,0,11
Sesimbra,0,11
Leiria,0,10
Mirandela,1,10
Oliveira do Bairro,0,10
Almeirim,1,9
Amares,1,9
Arcos de Valdevez,1,9
Palmela,1,9
Tomar,1,9
Caldas da Rainha,1,8
Cantanhede,1,8
Esposende,1,8
Soure,1,8
Abrantes,1,7
Figueira da Foz,1,7
Macedo de Cavaleiros,1,7
Marinha Grande,0,7
Oliveira de Frades,0,7
Ponta Delgada,0,7
Almeida,1,6
Amarante,0,6
Câmara de Lobos,0,6
Fafe,1,6
Grândola,1,6
Horta,0,6
Murtosa,1,6
Peso da Régua,0,6
Santiago do Cacém,1,6
Velas,0,6
Anadia,1,5
Angra do Heroísmo,0,5
Cinfães,0,5
Coruche,0,5
Mealhada,1,5
Nelas,1,5
Ourém,1,5
Penacova,1,5
Ponta do Sol,0,5
Ponte de Lima,1,5
Silves,0,5
Trancoso,1,5
Vagos,0,5
Vila da Praia da Vitória,0,5
Vila Real de Santo António,0,5
Vizela,0,5
Alenquer,1,4
Alvaiázere,0,4
Baião,0,4
Calheta,0,4
Guarda,1,4
Lamego,0,4
Lousã,0,4
Melgaço,1,4
Miranda do Corvo,0,4
Reguengos de Monsaraz,1,4
Rio Maior,0,4
Santa Cruz,0,4
Seia,1,4
Sines,0,4
Torres Novas,1,4
Alcanena,1,3
Alcochete,1,3
Alpiarça,1,3
Azambuja,1,3
Caminha,1,3
Carrazeda de Ansiães,1,3
Góis,1,3
Madalena,0,3
Monção,0,3
Olhão,0,3
Peniche,1,3
Porto Santo,0,3
São Pedro do Sul,0,3
São Roque do Pico,0,3
Sever do Vouga,1,3
Torre de Moncorvo,1,3
Valpaços,0,3
Vieira do Minho,1,3
Vila Pouca de Aguiar,1,3
Vimioso,1,3
